[INFO ] [2021-09-22 10:53:30,920] Pre-condition - Step 01: Open browser'firefox'navigate to'https://demo.nopcommerce.com/'
[INFO ] [2021-09-22 10:53:40,922] User_01_Register - Step 01: Verify Home Page is displayed
[INFO ] [2021-09-22 10:53:41,088]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-22 10:53:41,092] User_01_Register - Step 02: Click to Register Link
[INFO ] [2021-09-22 10:53:42,534] User_01_Register - Step 03: Click to Male Radio Button
[INFO ] [2021-09-22 10:53:42,857] User_01_Register - Step 04: Enter to First Name textbox
[INFO ] [2021-09-22 10:53:43,027] User_01_Register - Step 05: Enter to Last Name textbox
[INFO ] [2021-09-22 10:53:43,141] User_01_Register - Step 06: Enter to Email textbox with value: helennguyen4880@gmail.com
[INFO ] [2021-09-22 10:53:43,316] User_01_Register - Step 07: Enter to Password textbox with value: 123456
[INFO ] [2021-09-22 10:53:43,443] User_01_Register - Step 08: Enter to Confirm Password textbox with value: 123456
[INFO ] [2021-09-22 10:53:43,593] User_01_Register - Step 09: Click on Register Button
[INFO ] [2021-09-22 10:53:48,245] User_01_Register - Step 10: Verify success message is displayed
[INFO ] [2021-09-22 10:53:48,362]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-22 10:53:48,362] User_01_Register - Step 11: Click to Logout link
[INFO ] [2021-09-22 10:53:49,858] User_01_Register - Step 12: Verify Home Page is displayed
[INFO ] [2021-09-22 10:53:49,966]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-22 10:53:49,970] User_02_login - Step 01: Click To Login link
[INFO ] [2021-09-22 10:53:51,307] User_02_login - Step 02: Enter to email textbox with value: helennguyen4880@gmail.com
[INFO ] [2021-09-22 10:53:51,505] User_02_login - Step 03: Enter to Password textbox with value: 123456
[INFO ] [2021-09-22 10:53:51,637] User_02_login - Step 04: Click On Login Button
[INFO ] [2021-09-22 10:53:52,509] User_02_login - Step 05: Verify Home Page is displayed
[INFO ] [2021-09-22 10:53:52,612]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-22 10:53:52,615] Post-condition - Close browser
